adress,age,reg_date,price,实用面积,建筑面积,tdtr1uprice,tdtrlGuprice,tdtr1ltdayheldd,tdtr1ltperc
 俊民苑 文斌閣 (B座)  七樓 10室, 40 ,30/07/20,$720萬,554呎 ,665呎 , $12996 , $10827 ,-,-
  文安大廈  6樓 C室, 40 ,29/07/20,$530萬,265呎 ,346呎 , $20000 , $15318 ,[ 2467天,升38%]
  恆泰大樓  四樓 199A號, 57 ,29/07/20,$1230萬,801呎 ,-, $15356 ,-,-,-
 賀龍居 3座  13樓 C室, 25 ,29/07/20,$1140萬,676呎 ,853呎 , $16864 , $13365 ,[ 2618天,升24%]
 文豪閣 B座  4樓 D室, 35 ,29/07/20,$1450萬,991呎 ,1188呎 , $14632 , $12205 ,[ 2734天,升21%]
  鴻星大廈  五樓 482號, 56 ,29/07/20,$595萬,658呎 ,-, $9043 ,-,[ 5317天,升526%]
 傲玟 3座  11樓 A室, 0 ,28/07/20,$3616萬,1228呎 ,-, $29450 ,-,-,-
  布力架街34K號  地下 34K號, 64 ,28/07/20,$3688萬,1744呎 ,-, $21147 ,-,[ 6657天,升638%]
  仁華園  11樓 C室, 54 ,27/07/20,$1100萬,717呎 ,1100呎 , $15342 , $10000 ,[ 4823天,升187%]
半山壹號 2期 富甲半山 半山徑20號  35樓 20號, 11 ,27/07/20,$2350萬,1137呎 ,1491呎 , $20668 , $15761 ,[ 3947天,升34%]
 皓畋 6座  9樓 B室, 3 ,27/07/20,$4557萬,1477呎 ,-, $30853 ,-,-,-
  加多利軒  20樓 A室, 2 ,24/07/20,$1000萬,389呎 ,-, $25699 ,-,-,-
  新勝大樓  十八樓 A室, 45 ,24/07/20,$735萬,461呎 ,-, $15944 ,-,-,-
 寶雲閣 3座  6樓 C室, 44 ,22/07/20,$990萬,649呎 ,740呎 , $15254 , $13378 ,[ 1781天,升14%]
 傲玟 3座  9樓 C室, 0 ,22/07/20,$2852萬,934呎 ,-, $30538 ,-,-,-
半山壹號 2期 富甲半山 半山徑20號  57樓 20號, 11 ,22/07/20,$2300萬,1137呎 ,1491呎 , $20229 , $15426 ,[ 3934天,升10%]
  文安大廈  7樓 B室, 40 ,22/07/20,$528萬,265呎 ,343呎 , $19925 , $15394 ,[ 2104天,升23%]
  恆山閣  13樓 2室, 39 ,21/07/20,$533萬,341呎 ,420呎 , $15630 , $12690 ,[ 1448天,升37%]
  昌和閣  5樓 6號, 26 ,21/07/20,$1428萬,765呎 ,1250呎 , $18667 , $11424 ,[ 2136天,升35%]
 ONE HOMANTIN 3座  5樓 F室, 3 ,21/07/20,$1080萬,491呎 ,-, $21996 ,-,[ 1556天,升15%]
 皓畋 7座  23樓 B室, 3 ,21/07/20,$5900萬,1477呎 ,-, $39946 ,-,-,-
 俊民苑 文斌閣 (B座)  五樓 6室, 40 ,20/07/20,$777萬,596呎 ,715呎 , $13034 , $10864 ,-,-
  金富大廈  20樓 B3室, 40 ,20/07/20,$718萬,445呎 ,526呎 , $16135 , $13650 ,[ 5922天,升461%]
  全發大廈  十四樓 C室, 42 ,20/07/20,$518萬,366呎 ,458呎 , $14153 , $11310 ,[ 3737天,升210%]
  麗晶樓  4樓 F室, 53 ,20/07/20,$1088萬,712呎 ,860呎 , $15281 , $12651 ,[ 6600天,升431%]
  嘉樂園  十樓 310號, 45 ,17/07/20,$1100萬,714呎 ,-, $15406 ,-,[ 6137天,升400%]
天鑄 1期 6座  19樓 A室, 5 ,17/07/20,$8380萬,1911呎 ,-, $43851 ,-,[ 1756天,跌10%]
  加多利軒  8樓 J室, 2 ,16/07/20,$442萬,-,-,-,-,[ 1347天,升11%]
  萬基大廈  十樓 E室, 54 ,16/07/20,$1050萬,823呎 ,-, $12758 ,-,[ 5054天,升239%]
 冠華園 B座  十三樓 B2室, 55 ,16/07/20,$1200萬,1069呎 ,-, $11225 ,-,[ 937天,升20%]
 皓畋 9座  27樓 A室, 3 ,15/07/20,$4600萬,1468呎 ,-, $31335 ,-,[ 1525天,跌20%]
  加多利峰  18樓 B室, 6 ,14/07/20,$1950萬,959呎 ,-, $20334 ,-,[ 1755天,跌5%]
